Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Goalkeeper,Top Scorer,GF by Top Scorer,GF/90,GA/90,GD/90,GF by Top Scorer/90
10, Newcastle Utd 2013/2014,38,15,4,19,43,59,-16,49,1.29,0,0,0,0,"50,395",Tim Krul,Loïc Rémy , 14,1.13 ,1.55 ,-0.42 ,0.37 
11, Crystal Palace 2013/2014,38,13,6,19,33,48,-15,45,1.18,0,0,0,0,"24,375",Julián Speroni,"Dwight Gayle, Jason Puncheon ", 7,0.87 ,1.26 ,-0.39 ,0.18 
12, SwanseCity 2013/2014,38,11,9,18,54,54,0,42,1.11,0,0,0,0,"20,407",Michel Vorm,Wilfried Bony , 16,1.42 ,1.42 ,0.00 ,0.42 
13, West Ham 2013/2014,38,11,7,20,40,51,-11,40,1.05,0,0,0,0,"34,197",Adrián,Kevin Nolan , 7,1.05 ,1.34 ,-0.29 ,0.18 
14, Sunderland 2013/2014,38,10,8,20,41,60,-19,38,1,0,0,0,0,"41,090",Vito Mannone,Adam Johnson , 8,1.08 ,1.58 ,-0.50 ,0.21 
15, Aston Villa 2013/2014,38,10,8,20,39,61,-22,38,1,0,0,0,0,"36,081",Brad Guzan,Christian Benteke , 10,1.03 ,1.61 ,-0.58 ,0.26 
16, HulCity 2013/2014,38,10,7,21,38,53,-15,37,0.97,0,0,0,0,"24,117",Allan McGregor,Nikica Jelavic , 5,1.00 ,1.39 ,-0.39 ,0.13 
17, West Brom 2013/2014,38,7,15,16,43,59,-16,36,0.95,0,0,0,0,"25,194",Ben Foster,"Saido Berahino, Stéphane Sessègnon ", 5,1.13 ,1.55 ,-0.42 ,0.13 
18, NorwicCity 2013/2014,38,8,9,21,28,62,-34,33,0.87,0,0,0,0,"26,805",John Ruddy,"Gary Hooper, Robert Snodgrass ", 6,0.74 ,1.63 ,-0.89 ,0.16 
19, Fulham 2013/2014,38,9,5,24,40,85,-45,32,0.84,0,0,0,0,"24,977",David Stockdale,Steve Sidwell , 7,1.05 ,2.24 ,-1.18 ,0.18 
20, CardifCity 2013/2014,38,7,9,22,32,74,-42,30,0.79,0,0,0,0,"27,430",David Marshall,Jordon Mutch , 7,0.84 ,1.95 ,-1.11 ,0.18 
1, Chelsea 2014/2015,38,26,9,3,73,32,41,87,2.29,0,0,0,0,"41,546",ThibauCourtois,DiegCosta , 20,1.92 ,0.84 ,1.08 ,0.53 
2, ManchesteCity 2014/2015,38,24,7,7,83,38,45,79,2.08,0,0,0,0,"45,365",Joe Hart,Sergio Agüero , 26,2.18 ,1.00 ,1.18 ,0.68 
3, Arsenal 2014/2015,38,22,9,7,71,36,35,75,1.97,0,0,0,0,"59,992",David Ospina,Alexis Sánchez , 16,1.87 ,0.95 ,0.92 ,0.42 
4, Manchester Utd 2014/2015,38,20,10,8,62,37,25,70,1.84,0,0,0,0,"75,335",David de Gea,Wayne Rooney , 12,1.63 ,0.97 ,0.66 ,0.32 
5, Tottenham 2014/2015,38,19,7,12,58,53,5,64,1.68,0,0,0,0,"35,728",Hugo Lloris,Harry Kane , 21,1.53 ,1.39 ,0.13 ,0.55 
6, Liverpool 2014/2015,38,18,8,12,52,48,4,62,1.63,0,0,0,0,"44,659",Simon Mignolet,Steven Gerrard , 9,1.37 ,1.26 ,0.11 ,0.24 
7, Southampton 2014/2015,38,18,6,14,54,33,21,60,1.58,0,0,0,0,"30,741",Fraser Forster,Graziano Pellè , 12,1.42 ,0.87 ,0.55 ,0.32 
8, SwanseCity 2014/2015,38,16,8,14,46,49,-3,56,1.47,0,0,0,0,"20,555",Lukasz Fabianski,Wilfried Bony , 9,1.21 ,1.29 ,-0.08 ,0.24 
9, StokCity 2014/2015,38,15,9,14,48,45,3,54,1.42,0,0,0,0,"27,081",Asmir Begovic,Mame Biram Diouf , 11,1.26 ,1.18 ,0.08 ,0.29 
10, Crystal Palace 2014/2015,38,13,9,16,47,51,-4,48,1.26,0,0,0,0,"24,421",Julián Speroni,Glenn Murray , 7,1.24 ,1.34 ,-0.11 ,0.18 
11, Everton 2014/2015,38,12,11,15,48,50,-2,47,1.24,0,0,0,0,"37,406",Tim Howard,Romelu Lukaku , 10,1.26 ,1.32 ,-0.05 ,0.26 
12, West Ham 2014/2015,38,12,11,15,44,47,-3,47,1.24,0,0,0,0,"34,846",Adrián,Diafra Sakho , 10,1.16 ,1.24 ,-0.08 ,0.26 
13, West Brom 2014/2015,38,11,11,16,38,51,-13,44,1.16,0,0,0,0,"25,064",Ben Foster,Saido Berahino , 14,1.00 ,1.34 ,-0.34 ,0.37 
14, LeicesteCity 2014/2015,38,11,8,19,46,55,-9,41,1.08,0,0,0,0,"31,693",Kasper Schmeichel,Leonardo Ulloa , 11,1.21 ,1.45 ,-0.24 ,0.29 
15, Newcastle Utd 2014/2015,38,10,9,19,40,63,-23,39,1.03,0,0,0,0,"50,359",Tim Krul,PapisCissé , 11,1.05 ,1.66 ,-0.61 ,0.29 
16, Sunderland 2014/2015,38,7,17,14,31,53,-22,38,1,0,0,0,0,"43,157",Costel Pantilimon,"Steven Fletcher, Connor Wickham ", 5,0.82 ,1.39 ,-0.58 ,0.13 
17, Aston Villa 2014/2015,38,10,8,20,31,57,-26,38,1,0,0,0,0,"34,133",Brad Guzan,Christian Benteke , 13,0.82 ,1.50 ,-0.68 ,0.34 
18, HulCity 2014/2015,38,8,11,19,33,51,-18,35,0.92,0,0,0,0,"23,557",Allan McGregor,Nikica Jelavic , 8,0.87 ,1.34 ,-0.47 ,0.21 
19, Burnley 2014/2015,38,7,12,19,28,53,-25,33,0.87,0,0,0,0,"19,131",Tom Heaton,Danny Ings , 11,0.74 ,1.39 ,-0.66 ,0.29 
20, QPR 2014/2015,38,8,6,24,42,73,-31,30,0.79,0,0,0,0,"17,809",Robert Green,Charlie Austin , 18,1.11 ,1.92 ,-0.82 ,0.47 
1, LeicesteCity 2015/2016,38,23,12,3,68,36,32,81,2.13,0,0,0,0,"31,998",Kasper Schmeichel,Jamie Vardy , 24,1.79 ,0.95 ,0.84 ,0.63 
2, Arsenal 2015/2016,38,20,11,7,65,36,29,71,1.87,0,0,0,0,"59,944",PetCech,Olivier Giroud , 16,1.71 ,0.95 ,0.76 ,0.42 
3, Tottenham 2015/2016,38,19,13,6,69,35,34,70,1.84,0,0,0,0,"35,776",Hugo Lloris,Harry Kane , 25,1.82 ,0.92 ,0.89 ,0.66 
4, ManchesteCity 2015/2016,38,19,9,10,71,41,30,66,1.74,0,0,0,0,"54,041",Joe Hart,Sergio Agüero , 24,1.87 ,1.08 ,0.79 ,0.63 
5, Manchester Utd 2015/2016,38,19,9,10,49,35,14,66,1.74,0,0,0,0,"75,286",David de Gea,Anthony Martial , 11,1.29 ,0.92 ,0.37 ,0.29 
6, Southampton 2015/2016,38,18,9,11,59,41,18,63,1.66,0,0,0,0,"30,751",Fraser Forster,"Sadio Mané, Graziano Pellè ", 11,1.55 ,1.08 ,0.47 ,0.29 
